Tag_01	R29CE8G3
Tag_02	R17CE8G2
Tag_03	R08CE8G1
Tag_04	R12CE8G1
Tag_05	R01CE8G1
Tag_06	R43IL8G4
Tag_07	R34CE8G3
Tag_08	R37CE8G4
Tag_09	R45IL8G4
Tag_10	R15IL8G2
Tag_11	R14IL8G2
Tag_12	R33IL8G3
Tag_13	R02CE8G1
Tag_14	R07CE8G1
Tag_15	R15CE8G2
Tag_16	R04IL8G1
Tag_17	R25IL8G3
Tag_18	R25CE8G3
Tag_19	R39IL8G4
Tag_20	R22IL8G2
Tag_21	R03IL8G1
Tag_22	R10CE8G1
Tag_23	R28IL8G3
Tag_24	R11IL8G1
Tag_25	R33CE8G3
Tag_26	R30IL8G3
Tag_27	R05CE8G1
Tag_28	R24CE8G2
Tag_29	R01IL8G1
Tag_30	R03CE8G1
Tag_31	R20IL8G2
Tag_32	R40CE8G4
Tag_33	R18IL8G2
Tag_34	R18CE8G2
Tag_35	R17IL8G2
Tag_36	R29IL8G3
Tag_37	R42IL8G4
Tag_38	R24IL8G2
Tag_39	R31IL8G3
Tag_40	R35IL8G3
Tag_41	R32CE8G3
Tag_42	R13CE8G2
Tag_43	R16IL8G2
Tag_44	R38CE8G4
Tag_45	R47IL8G4
Tag_46	R39CE8G4
Tag_47	R48IL8G4
Tag_48	R19CE8G2
Tag_49	R36IL8G3
Tag_50	R42CE8G4
Tag_51	R21CE8G2
Tag_52	R41CE8G4
Tag_53	R05IL8G1
Tag_54	R23CE8G2
Tag_55	R02IL8G1
Tag_56	R26CE8G3
Tag_57	R41IL8G4
Tag_58	R40IL8G4
Tag_59	R20CE8G2
Tag_60	R45CE8G4
Tag_61	R35CE8G3
Tag_62	R27CE8G3
Tag_63	R38IL8G4
Tag_64	R16CE8G2
Tag_65	R09IL8G1
Tag_66	R19IL8G2
Tag_67	R22CE8G2
Tag_68	R30CE8G3
Tag_69	R46CE8G4
Tag_70	R37IL8G4
Tag_71	R44CE8G4
Tag_72	R34IL8G3
Tag_73	R08IL8G1
Tag_74	R44IL8G4
Tag_75	R32IL8G3
Tag_76	R09CE8G1
Tag_77	R11CE8G1
Tag_78	R28CE8G3
Tag_79	R46IL8G4
Tag_80	R23IL8G2
Tag_81	R07IL8G1
Tag_82	R13IL8G2
Tag_83	R31CE8G3
Tag_84	R43CE8G4
Tag_85	R36CE8G3
Tag_86	R21IL8G2
Tag_87	R10IL8G1
Tag_88	R48CE8G4
Tag_89	R27IL8G3
Tag_90	MOCK-4
Tag_91	R14CE8G2
Tag_92	R47CE8G4
Tag_93	R12IL8G1
Tag_94	R06CE8G1
Tag_95	R04CE8G1
Tag_96	R26IL8G3
