Tag_01	R24F0G2
Tag_02	R25F8G3
Tag_03	R12F8G1
Tag_04	R09F8G1
Tag_05	R11F0G1
Tag_06	R39F0G4
Tag_07	R36F8G3
Tag_08	R02F0G1
Tag_09	R01F8G1
Tag_10	R03F0G1
Tag_11	R33F8G3
Tag_12	R08F0G1
Tag_13	R04F0G1
Tag_14	R43F8G4
Tag_15	R22F8G2
Tag_16	R23F8G2
Tag_17	R19F8G2
Tag_18	R42F0G4
Tag_19	R35F0G3
Tag_20	R19F0G2
Tag_21	R13F8G2
Tag_22	R14F0G2
Tag_23	R10F0G1
Tag_24	R02F8G1
Tag_25	R26F0G3
Tag_26	R28F0G3
Tag_27	R37F8G4
Tag_28	R45F0G4
Tag_29	R22F0G2
Tag_30	R30F0G3
Tag_31	R47F8G4
Tag_32	R47F0G4
Tag_33	R44F8G4
Tag_34	R27F0G3
Tag_35	R44F0G4
Tag_36	MOCK-1
Tag_37	R17F0G2
Tag_38	R34F0G3
Tag_39	MOCK-2
Tag_40	R18F0G2
Tag_41	R45F8G4
Tag_42	R28F8G3
Tag_43	R43F0G4
Tag_44	R32F8G3
Tag_45	R09F0G1
Tag_46	R20F0G2
Tag_47	R41F0G4
Tag_48	R29F8G3
Tag_49	R32F0G3
Tag_50	R23F0G2
Tag_51	R40F0G4
Tag_52	R21F0G2
Tag_53	R07F8G1
Tag_54	R36F0G3
Tag_55	R38F8G4
Tag_56	R46F0G4
Tag_57	NEGATIVE
Tag_58	R12F0G1
Tag_59	R05F0G1
Tag_60	R17F8G2
Tag_61	R15F0G2
Tag_62	R34F8G3
Tag_63	R38F0G4
Tag_64	R35F8G3
Tag_65	R26F8G3
Tag_66	R37F0G4
Tag_67	R31F0G3
Tag_68	R31F8G3
Tag_69	R15F8G2
Tag_70	R06F0G1
Tag_71	R21F8G2
Tag_72	R08F8G1
Tag_73	R04F8G1
Tag_74	R06F8G1
Tag_75	MOCK-3
Tag_76	R11F8G1
Tag_77	R01F0G1
Tag_78	R24F8G2
Tag_79	R42F8G4
Tag_80	R14F8G2
Tag_81	R41F8G4
Tag_82	R05F8G1
Tag_83	R29F0G3
Tag_84	R33F0G3
Tag_85	R39F8G4
Tag_86	R07F0G1
Tag_87	R13F0G2
Tag_88	R27F8G3
Tag_89	R48F8G4
Tag_90	R16F0G2
Tag_91	R46F8G4
Tag_92	R10F8G1
Tag_93	R48F0G4
Tag_94	R25F0G3
Tag_95	R03F8G1
Tag_96	R30F8G3
