rat_name;ordering;treatment;pfos;van;bw_0;bw_1;bw_2;bw_3;bw_4;bw_5;bw_6;bw_7;bw_8;bw_gain;cecum_wt;cecum_wt_bw;cecum_norm;liver_wt;liver_wt_bw;liver_norm;tot_pfos4;blood_vol4_mL;pfos_serum4_ugml;pfos_serum4_ug;pfos_serum4_mg;pfos_serum4_pct;tot_pfos8;blood_vol8_mL;pfos_serum8_ugml;pfos_serum8_ug;pfos_serum8_mg;pfos_serum8_pct;pfos_change48_pct;pfos_liver_ugg;pfos_liver_mg;pfos_liver_pct;acetic;formic;propanoic;m2_propanoic ;butanoic;m3_butanoic;pentanoic;m4_pentanoic;hexanoic;heptanoic
R01;01;CTRL;no;no;310;320,9;324,7;339,1;350;354;363;375,7;380;22,58064516;7,4945;19,7224;1,2300;13,8088;36,3389;1,0109;0;22,4;0;0,000;0,00000000;;0;24,32;0;0,000;0,000;;;0,22;0,0030379;;7,868664624;0;0,392193101;0,107131688;1,710920079;0,066091452;0,059756633;0;0,088022374;0
R02;02;CTRL;no;no;239,9;244,7;249,6;257,1;264,9;267;275;284,2;284;18,38265944;;;;10,537;37,1021;1,0321;0;16,9536;0;0,000;0,00000000;;0;18,176;0;0,000;0,000;;;0,22;0,0023181;;7,529960838;0;0,264897743;0,031722031;0,837188153;0,01943444;0,039310308;0;0,015496245;0
R03;03;CTRL;no;no;228,6;235;242,8;249,8;252,2;256;262;270,7;270;18,11023622;4,2227;15,6396;0,9754;10,181;37,7074;1,0489;0;16,1408;0;0,000;0,00000000;;0;17,28;0;0,000;0,000;;;0,03;0,0003054;;7,334644386;0;0,307603587;0,049579591;1,551263045;0,027955636;0,073316002;0;0,106096092;0
R04;04;CTRL;no;no;289,7;298,6;303,8;319,2;319,2;325;332;340,6;333;14,94649638;4,2636;12,8036;0,7985;12,181;36,5796;1,0176;0;20,4288;0;0,000;0,00000000;;0;21,312;0;0,000;0,000;;;0,04;0,0004872;;7,211623767;0;0,400237553;0,050540267;1,404214302;0,034416294;0,030303735;0;0;0
R05;05;CTRL;no;no;214;219,3;222,4;228,7;231,1;237;243;250,8;250;16,82242991;3,4712;13,8848;0,8660;9,6172;38,4688;1,0701;0;14,7904;;0,000;0,00000000;;0;16;0,048;0,768;0,001;;;0,1;0,0009617;;9,522715335;0;0,227608736;0,049101773;2,427284909;0,026265857;0,045212862;0;0,063080932;0
R06;06;CTRL;no;no;274,5;276,5;284,8;296,4;297,2;302;315;321,5;320;16,57559199;4,8215;15,0672;0,9397;11,5896;36,2175;1,0075;0;19,0208;0,003;0,057;0,00005706;;0;20,48;0;0,000;0,000;;;0,05;0,0005795;;6,277652845;0;0,229773614;0,039023602;1,212169357;0,021403719;0,054878086;0;0,046317281;0
R07;07;CTRL;no;no;278,7;282,7;290,8;298,2;303,9;312;321;325,1;329;18,04808037;4,4275;13,4574;0,8393;11,5183;35,0100;0,9739;0;19,4496;0;0,000;0,00000000;;0;21,056;0;0,000;0,000;;;0,39;0,0044921;;7,695139947;0;0,280520044;0,071441389;1,922502227;0,049669642;0,069213867;0,057246297;0,069717902;0
R08;08;CTRL;no;no;256,4;265,4;268,1;274,1;277,7;283;288;295,2;298;16,22464899;4,6751;15,6883;0,9784;11,3824;38,1960;1,0625;0;17,7728;0;0,000;0,00000000;;0;19,072;0;0,000;0,000;;;0,14;0,0015935;;1,019506463;0,827624299;0;0;0;0;0;0,037665984;0;0
R09;09;CTRL;no;no;273,1;278,5;289,8;289,5;296,1;302;304;316,1;314;14,97619919;6,3795;20,3169;1,2671;10,1491;32,3220;0,8991;0;18,9504;0;0,000;0,00000000;;0;20,096;0,08;1,608;0,002;;;0,15;0,0015224;;7,035536133;0;0,194235576;0,034381627;0,700025303;0,019891014;0,024465369;0,041231537;0,040585876;0
R10;10;CTRL;no;no;265,8;272,7;275,2;284,9;291,1;294;305;317;312;17,38148984;5,2905;16,9567;1,0576;11,3674;36,4340;1,0135;0;18,6304;0;0,000;0,00000000;;0;19,968;0;0,000;0,000;;;0,08;0,0009094;;10,46552189;0;0,348551601;0,06152928;1,330444376;0,042614778;0,060321534;0,042938139;0,060449375;0,042825291
R11;11;CTRL;no;no;271,1;277,5;287,2;294,1;292,7;299;303;309,2;308;13,61121357;4,973;16,1461;1,0070;10,4253;33,8484;0,9416;0;18,7328;0,002;0,037;0,00003747;;0;19,712;0;0,000;0,000;;;0,59;0,0061509;;8,556427946;0;0,381443757;0,049378206;1,65193422;0,029312623;0,074905797;0,033963544;0,124649555;0
R12;12;CTRL;no;no;296,6;304,1;315,8;322,3;324,2;334;337;347,8;349;17,66689144;5,8247;16,6897;1,0409;11,5693;33,1499;0,9222;0;20,7488;0;0,000;0,00000000;;0;22,336;0,064;1,430;0,001;;;0,38;0,0043963;;6,799043053;0;0,193167799;0,046678011;0,649065304;0,026651495;0,029922328;0;0,017124962;0
R25;13;PFOS;yes;no;339,3;340,5;352,8;364,4;347,6;358;372;383,3;389;14,6478043;7,4068;19,0406;1,1875;14,6067;37,5494;1,0446;3,1731;22,2464;8,56;190,429;0,19042918;6,001;7,5558;24,896;43,92;1093,432;1,093;14,471;474,194;188,72;2,7565764;36,483;9,315861652;0;0,304466066;0,04532504;1,977343586;0,028706195;0,036229494;0,176449642;0,082871274;0
R26;14;PFOS;yes;no;237,8;245,9;248;257;259,2;265;273;278;282;18,58704794;3,6565;12,9663;0,8087;12,2419;43,4110;1,2076;2,2527;16,5888;9,6;159,252;0,15925248;7,069;5,4783;18,048;45,6;822,989;0,823;15,023;416,782;190,48;2,3318371;42,565;11,1835698;0;0,344223375;0,08032019;2,176343479;0,056283013;0,103582748;0;0,183757406;0
R27;15;PFOS;yes;no;270,1;279,5;284,5;290,7;290,5;296;304;306,3;306;13,29137357;3,2032;10,4680;0,6529;11,4025;37,2631;1,0366;2,5641;18,592;7,92;147,249;0,14724864;5,743;6,1545;19,584;69,92;1369,313;1,369;22,249;829,933;146;1,6647650;27,050;3,81846141;0;0,138452052;0,026909798;0,348331263;0,018737536;0,016904128;0;0,014671422;0
R28;16;PFOS;yes;no;241,7;248,4;251,8;264,8;267,8;273;279;286;284;17,50103434;4,2597;14,9989;0,9355;11,4532;40,3282;1,1219;2,295;17,1392;8,64;148,083;0,14808269;6,452;5,6124;18,176;21,92;398,418;0,398;7,099;169,051;150,16;1,7198125;30,643;8,430942239;0,661795965;0,485812139;0,07477591;1,270838685;0,050098474;0,065236596;0,122000471;0,043734987;0
R29;17;PFOS;yes;no;239,3;243,3;248,3;254,6;259,1;267;274;282,8;283;18,26159632;4,8233;17,0435;1,0630;10,7759;38,0774;1,0592;2,2386;16,5824;12,96;214,908;0,21490790;9,600;5,4873;18,112;26,56;481,055;0,481;8,767;123,842;179,76;1,9370758;35,301;4,116468148;0;0,197857682;0,040984873;0,461454139;0,032953231;0,028162284;0;0,022026222;0
R30;18;PFOS;yes;no;258,1;262,2;264,7;270,6;269,7;274;278;282,8;276;6,935296397;3,6743;13,3127;0,8303;10,3129;37,3656;1,0394;2,3925;17,2608;8,68;149,824;0,14982374;6,262;5,706;17,664;47,84;845,046;0,845;14,810;464,027;221,6;2,2853386;40,052;3,50372486;0;0,151658591;0,038710713;0,251098809;0,028967713;0,038377059;0,028585453;0,032692959;0
R31;19;PFOS;yes;no;282,7;284,3;292,9;300,7;306,9;315;324;329,7;338;19,56137248;5,122;15,1538;0,9451;13,1694;38,9627;1,0839;2,6337;19,6416;5,72;112,350;0,11234995;4,266;6,4605;21,632;21,84;472,443;0,472;7,313;320,510;169,52;2,2324767;34,556;8,719508776;0,751313185;0,291792143;0,044513329;1,523350005;0,034586019;0,050700827;0;0,022518659;0
R32;20;PFOS;yes;no;254,9;261,6;268,6;275,6;281;291;294;303,1;306;20,04707729;3,8333;12,5271;0,7813;11,5533;37,7559;1,0503;2,4174;17,984;7,56;135,959;0,13595904;5,624;5,9247;19,584;29,36;574,986;0,575;9,705;322,911;166,96;1,9289390;32,558;6,642488288;1,511986783;0,222430156;0,033149284;0,759356574;0,019855396;0,024065186;0;0,016743183;0
R33;21;PFOS;yes;no;263,5;270,5;278;288,2;293,3;296;305;314;322;22,20113852;6,2924;19,5416;1,2188;12,7458;39,5832;1,1011;2,5101;18,7712;8,24;154,675;0,15467469;6,162;6,135;20,608;22,08;455,025;0,455;7,417;194,182;160,8;2,0495246;33,407;9,218474884;0;0,3206063;0,040250703;1,075174125;0,021475115;0,045369752;0;0,141198393;0
R34;22;PFOS;yes;no;266,6;274;283,6;291;291,8;301;310;312,6;314;17,77944486;5,0817;16,1838;1,0093;12,4965;39,7978;1,1071;2,5458;18,6752;11,36;212,150;0,21215027;8,333;6,192;20,096;52,48;1054,638;1,055;17,032;397,118;180,08;2,2503697;36,343;6,435524296;0;0,213571369;0,047813384;1,008280745;0,026973218;0,04630859;0,038294902;0,050456843;0
R35;23;PFOS;yes;no;283,2;290,2;300,6;308,9;311,2;324;331;336,8;341;20,40960452;5,2659;15,4425;0,9631;14,0211;41,1176;1,1438;2,6991;19,9168;9;179,251;0,17925120;6,641;6,6081;21,824;29,84;651,228;0,651;9,855;263,305;160,88;2,2557146;34,136;8,880293343;0;0,269832333;0,067442885;1,694737851;0,045072911;0,081845096;0;0,142470808;0
R36;24;PFOS;yes;no;218;223,7;229,3;232,8;239,1;243;245;258,5;256;17,43119266;3,8176;14,9125;0,9301;9,3887;36,6746;1,0202;2,0574;15,3024;11,84;181,180;0,18118042;8,806;5,0142;16,384;23,76;389,284;0,389;7,764;114,860;199,6;1,8739845;37,374;5,979112839;0;0,244102344;0,060115171;1,171389075;0,037057458;0,044713459;0;0,089312665;0
R13;25;VAN;no;yes;217,7;222,5;228,4;234;231,4;241;250;253,2;253;16,21497474;8,0247;31,7182;1,9782;9,0997;35,9672;1,0005;0;14,8096;0,002;0,030;0,00002962;;0;16,192;0;0,000;0,000;;;0,1;0,0009100;;3,051264502;0;0,158789034;0;0,059886815;0;0;0;0;0
