Kingdom,Phylum,Class,Order,Family,Genus,Species,Control,Mock,Sample,ASV,contam_phy,contam_harsh
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia/Shigella,"albertii/boydii/coli/coli,/dysenteriae/fergusonii/flexneri/sonnei/vulneris",3.52422907488987,8.62052357538903,15.4898020760781,ASV_0001,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,xylanisolvens,9.16299559471366,0.0169588472232306,12.0455311651084,ASV_0002,FALSE,FALSE
Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,pseudolongum,17.8854625550661,0.0130847170410933,10.4986587313398,ASV_0003,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,Genus_Romboutsia,9.16299559471366,0.0215187897566321,11.3299968069643,ASV_0004,TRUE,TRUE
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Genus_Ligilactobacillus,6.87224669603524,0.00811027613453132,7.53209089288349,ASV_0005,FALSE,FALSE
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,intestinalis,7.66519823788546,0.00595998626623892,4.35538114313816,ASV_0006,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,thetaiotaomicron,3.34801762114537,0.000684760900257162,4.7597930966291,ASV_0007,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,8.45814977973568,0.00692821071524354,2.71918954166912,ASV_0008,FALSE,FALSE
Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,Genus_Turicibacter,0.52863436123348,0.000758207597240124,2.08020690947508,ASV_0009,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellamassilia,Genus_Prevotellamassilia,2.11453744493392,0.00137586357697906,2.17145211388173,ASV_0010,FALSE,FALSE
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,acidophilus/gasseri/johnsonii/taiwanensis,1.93832599118943,0.00494021969576606,1.50314110525303,ASV_0011,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Family_Ruminococcaceae,Family_Ruminococcaceae,1.67400881057269,0.00288593699499457,1.61083814251911,ASV_0012,FALSE,FALSE
Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemania,filiformis,0,0,1.01491431069729,ASV_0013,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,goldsteinii,1.40969162995595,0.00380290829990587,0.839501795407662,ASV_0014,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0,0,0.986378207912413,ASV_0015,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0.704845814977974,0.000305657101637099,0.634486103164384,ASV_0016,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0,0,0.528531013992584,ASV_0017,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0.616740088105727,0.00168152067861616,0.540287027321614,ASV_0018,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0,0.000157583550798633,0.663676517348233,ASV_0019,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Family_Ruminococcaceae,Family_Ruminococcaceae,0.352422907488987,0.00144296849749729,0.439348086785501,ASV_0020,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Genus_Blautia,0,0,0.302575644354716,ASV_0021,FALSE,FALSE
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_1,Family_Bacillaceae_1,Family_Bacillaceae_1,0,21.4620716962915,0.000911263896607623,ASV_0022,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Order_Clostridiales,Order_Clostridiales,Order_Clostridiales,0.176211453744493,0,0.382248228112171,ASV_0023,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Family_Clostridiaceae_1,Family_Clostridiaceae_1,0.0881057268722467,0.000379103798620062,0.318551535525132,ASV_0024,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Genus_Roseburia,0,0,0.328518929889715,ASV_0025,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0.616740088105727,0.00113731139586019,0.37278590031702,ASV_0026,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter,Genus_Oscillibacter,0.176211453744493,0.000611314203274199,0.325547989843234,ASV_0027,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0.26431718061674,0.000379103798620062,0.327634692947946,ASV_0028,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XIII,Family_Clostridiales_Incertae_Sedis_XIII,Family_Clostridiales_Incertae_Sedis_XIII,0,0.0015282855081855,0.279706384014186,ASV_0029,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0.0881057268722467,0.000379103798620062,0.332718382175119,ASV_0030,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0.704845814977974,0,0.322351743338645,ASV_0031,FALSE,FALSE
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Genus_Salmonella,0,13.9226894784879,0.00085781168387741,ASV_0032,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Order_Clostridiales,Order_Clostridiales,Order_Clostridiales,0.881057268722467,0.000385445575084798,0.279204091127619,ASV_0033,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0,0.000305657101637099,0.351944422104212,ASV_0034,FALSE,FALSE
Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,innocua/ivanovii/marthii/monocytogenes/seeligeri/welshimeri,0,13.8489165545023,0.000451524296376813,ASV_0035,FALSE,FALSE
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,argenteus/aureus/equorum/haemolyticus/lugdunensis/simiae,0,12.4377147195709,0.00936161495794988,ASV_0036,FALSE,FALSE
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella,Genus_Parasutterella,0.176211453744493,0,0.219573787052485,ASV_0037,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Intestinimonas,Genus_Intestinimonas,0.969162995594714,0,0.234955731757217,ASV_0038,FALSE,FALSE
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Genus_Limosilactobacillus,0,11.7905376390533,0.000298291955807137,ASV_0039,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Genus_Eubacterium,0.176211453744493,0.000684760900257162,0.228000535974621,ASV_0040,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,inops,0.0881057268722467,0,0.216806365057535,ASV_0041,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Family_Ruminococcaceae,Family_Ruminococcaceae,0,0,0.219693637243298,ASV_0042,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0,0,0.291956009822109,ASV_0043,FALSE,FALSE
Bacteria,Firmicutes,Phylum_Firmicutes,Phylum_Firmicutes,Phylum_Firmicutes,Phylum_Firmicutes,Phylum_Firmicutes,0.0881057268722467,0.000379103798620062,0.189018842734945,ASV_0044,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,Genus_Romboutsia,0.176211453744493,0,0.174110301624086,ASV_0045,TRUE,TRUE
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Genus_Streptococcus,0,0,0.160101900410347,ASV_0046,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Intestinimonas,Genus_Intestinimonas,0,0.000385445575084798,0.158140279336439,ASV_0047,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Intestinimonas,Genus_Intestinimonas,0.0881057268722467,0.0030328303889605,0.189974128483912,ASV_0048,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Order_Clostridiales,Order_Clostridiales,Order_Clostridiales,0,0.000379103798620062,0.189483500167014,ASV_0049,FALSE,FALSE
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Family_Desulfovibrionaceae,Family_Desulfovibrionaceae,0,0,0.165604595192344,ASV_0050,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Faecalicatena,Genus_Faecalicatena,0,0.000379103798620062,0.122307726511635,ASV_0051,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Genus_Ruminococcus,0.352422907488987,0,0.176482057104218,ASV_0052,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0,0.000385445575084798,0.160227785456518,ASV_0053,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Intestinimonas,Genus_Intestinimonas,0.176211453744493,0,0.153874320397607,ASV_0055,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Genus_Roseburia,0,0,0.162092024055343,ASV_0056,FALSE,FALSE
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella,Genus_Parasutterella,0.616740088105727,0,0.126497170381126,ASV_0057,FALSE,FALSE
Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Genus_Adlercreutzia,0.176211453744493,0,0.1329511749435,ASV_0058,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Order_Clostridiales,Order_Clostridiales,Order_Clostridiales,0,0.00113731139586019,0.169609559756885,ASV_0059,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0.0881057268722467,0,0.158119282985179,ASV_0060,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0,0,0.190455880197609,ASV_0061,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Acutalibacter,Genus_Acutalibacter,0,0,0.114900239527667,ASV_0062,FALSE,FALSE
Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemania,Genus_Holdemania,0,0,0.113422625923015,ASV_0063,FALSE,FALSE
Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Family_Erysipelotrichaceae,Family_Erysipelotrichaceae,0,0,0.1184490411844,ASV_0064,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Genus_Blautia,0,0,0.0715516679123933,ASV_0065,FALSE,FALSE
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,aeruginosa/alcaligenes/alcaliphila/anguilliseptica/azelaica/balearica/citronellolis/delhiensis/denitrificans/fluorescens/fragi/guezennei/knackmussii/mendocina/mosselii/nitroreducens/otitidis/panipatensis/peli/pseudoalcaligenes/putida/resinovorans/sp/stutzeri/thermaerum/tropicalis,0.0881057268722467,6.26772001012069,0.00097356464470761,ASV_0066,TRUE,FALSE
