"","Feature","pval","pval.adj","Method","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","ASV_0001",3.64866229897672e-11,9.64219194287856e-10,"ANOVA (aov)","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA
"2","ASV_0002",1.56146976882644e-09,2.1340086840628e-08,"ANOVA (aov)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae",NA,NA
"3","ASV_0003",2.51208185895256e-05,7.92271970900423e-05,"ANOVA (aov)","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae",NA,NA
"4","ASV_0005",4.3577090438364e-06,2.23332588496616e-05,"ANOVA (aov)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae",NA,NA
"5","ASV_0008",2.46705153875284e-05,7.92271970900423e-05,"ANOVA (aov)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"6","ASV_0010",0.00332070831471797,0.00600123750328175,"ANOVA (aov)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae",NA,NA
"7","ASV_0012",4.70350826481881e-11,9.64219194287856e-10,"ANOVA (aov)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"8","ASV_0013",1.44934766426936e-05,5.62488077793019e-05,"ANOVA (aov)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae",NA,NA
"9","ASV_0014",0.00615159691127532,0.0100886189344915,"ANOVA (aov)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae",NA,NA
"12","ASV_0029",6.61217028987182e-05,0.00018073265458983,"ANOVA (aov)","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XIII",NA,NA
"14","ASV_0036",0.013676621311638,0.0211450206337471,"ANOVA (aov)","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae",NA,NA
"16","ASV_0040",0.00114872802568271,0.00251203582842709,"ANOVA (aov)","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae",NA,NA
"17","ASV_0041",0.0288971541187631,0.0400021624430616,"ANOVA (aov)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae",NA,NA
"18","ASV_0045",1.50911435505444e-05,5.62488077793019e-05,"ANOVA (aov)","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae",NA,NA
"19","ASV_0046",0.0292698749583378,0.0400021624430616,"ANOVA (aov)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",NA,NA
"20","ASV_0050",6.90661414232591e-06,3.14634644261514e-05,"ANOVA (aov)","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae",NA,NA
"21","ASV_0058",4.4529406081092e-09,4.56426412331193e-08,"ANOVA (aov)","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae",NA,NA
"22","ASV_0059",0.00147614704053563,0.00302610143309804,"ANOVA (aov)","Bacteria","Firmicutes","Clostridia","Clostridiales","Order_Clostridiales",NA,NA
"23","ASV_0085",9.67167803469811e-07,5.66483999175175e-06,"ANOVA (aov)","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae_1",NA,NA
"24","ASV_0086",0.000624985813066703,0.00150731872563146,"ANOVA (aov)","Bacteria","Actinobacteria","Actinobacteria","Mycobacteriales","Corynebacteriaceae",NA,NA
"25","ASV_0101",0.0175363124595648,0.0256781718157913,"ANOVA (aov)","Bacteria","Firmicutes","Clostridia","Class_Clostridia","Class_Clostridia",NA,NA
"28","ASV_0115",0.0139247696856383,0.0211450206337471,"ANOVA (aov)","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae",NA,NA
"30","ASV_0123",0.00116411416439304,0.00251203582842709,"ANOVA (aov)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae",NA,NA
"31","ASV_0157",2.13409893961152e-07,1.45830094206787e-06,"ANOVA (aov)","Bacteria","Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes",NA,NA
"32","ASV_0195",3.44142192503222e-05,0.000100784499233086,"ANOVA (aov)","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae",NA,NA
"34","ASV_0251",0.00301619840807948,0.00588876832053613,"ANOVA (aov)","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae",NA,NA
"35","ASV_0288",0.00445152046634106,0.00760468079666597,"ANOVA (aov)","Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae",NA,NA
"36","ASV_0340",0.000234832614195879,0.000601758573876941,"ANOVA (aov)","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae",NA,NA
"37","ASV_0404",1.40724501818561e-08,1.1539409149122e-07,"ANOVA (aov)","Bacteria","Actinobacteria","Phylum_Actinobacteria","Phylum_Actinobacteria","Phylum_Actinobacteria",NA,NA
"39","ASV_0603",0.00336654786769464,0.00600123750328175,"ANOVA (aov)","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
