"","Feature","pval","pval.adj","Method","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","ASV_0001",2.15700754733074e-26,1.96287686807098e-24,"Log ANOVA 2 (lao2)","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella",NA
"2","ASV_0002",7.10373540640016e-10,5.05035954735477e-09,"Log ANOVA 2 (lao2)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"3","ASV_0003",3.51040666357226e-09,1.99654378990672e-08,"Log ANOVA 2 (lao2)","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA
"4","ASV_0005",6.89705933897677e-05,0.00014943628567783,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus",NA
"5","ASV_0008",5.33580699142817e-12,6.93654908885663e-11,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Family_Lachnospiraceae",NA
"6","ASV_0009",3.07675938125904e-08,1.39992551847286e-07,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Turicibacter",NA
"7","ASV_0010",0.000336076911764637,0.000650702105757062,"Log ANOVA 2 (lao2)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellamassilia",NA
"8","ASV_0011",4.54471038516462e-16,1.3785621501666e-14,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"9","ASV_0012",3.22597657034475e-16,1.3785621501666e-14,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Family_Ruminococcaceae",NA
"10","ASV_0013",1.1797083652702e-15,2.6838365309897e-14,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemania",NA
"11","ASV_0014",1.04856919226977e-08,5.30109980536383e-08,"Log ANOVA 2 (lao2)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides",NA
"12","ASV_0021",0.000153437499771411,0.000303539401721705,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"15","ASV_0025",0.0210866267644907,0.027412614793838,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA
"16","ASV_0027",1.3136549850783e-06,4.781704145685e-06,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter",NA
"17","ASV_0029",1.45418375984586e-05,3.78087777559924e-05,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XIII","Family_Clostridiales_Incertae_Sedis_XIII",NA
"20","ASV_0036",0.0113315329736581,0.0166317661387562,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA
"21","ASV_0037",0.000572146821104247,0.00103762288275153,"Log ANOVA 2 (lao2)","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella",NA
"22","ASV_0040",2.1289872275912e-06,7.17547547077034e-06,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacterium",NA
"24","ASV_0045",4.01838816775776e-06,1.30597615452127e-05,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Romboutsia",NA
