"","Feature","pval","pval.adj","Method","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","ASV_0001",4.24237375433252e-28,3.81813637889927e-26,"ANOVA - CLR (aoc)","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella",NA
"2","ASV_0002",3.20594727588063e-15,4.80892091382095e-14,"ANOVA - CLR (aoc)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"3","ASV_0003",8.96217928665148e-09,3.10229282999474e-08,"ANOVA - CLR (aoc)","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA
"4","ASV_0005",1.83330260345596e-07,5.68955980382885e-07,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus",NA
"5","ASV_0006",7.79571033005171e-12,5.54608691237100e-11,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"6","ASV_0008",0.000252174771835704,0.000482887860961987,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Family_Lachnospiraceae",NA
"7","ASV_0009",0.000139261800570756,0.000284853682985638,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Turicibacter",NA
"9","ASV_0012",8.01101442898034e-12,5.54608691237100e-11,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Family_Ruminococcaceae",NA
"10","ASV_0013",2.5826928912263e-16,5.81105900525917e-15,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemania",NA
"11","ASV_0014",5.87856371224458e-06,1.55609039441768e-05,"ANOVA - CLR (aoc)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides",NA
"12","ASV_0021",2.81066494342159e-06,7.66544984569524e-06,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"14","ASV_0027",0.000605825097046754,0.00102875959875864,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter",NA
"15","ASV_0029",0.00200199806874705,0.00321749689620062,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XIII","Family_Clostridiales_Incertae_Sedis_XIII",NA
"16","ASV_0032",3.79330578871973e-11,2.43855372131983e-10,"ANOVA - CLR (aoc)","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella",NA
"17","ASV_0037",7.2981923659912e-09,2.62734925175683e-08,"ANOVA - CLR (aoc)","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella",NA
"20","ASV_0045",7.05063274156589e-05,0.000154769987009983,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Romboutsia",NA
"22","ASV_0047",4.65578236002235e-09,1.74591838500838e-08,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Intestinimonas",NA
"23","ASV_0050",2.95799742677876e-13,2.66219768410089e-12,"ANOVA - CLR (aoc)","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Family_Desulfovibrionaceae",NA
"24","ASV_0051",9.78098303462393e-06,2.37915803544906e-05,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Faecalicatena",NA
"25","ASV_0058",3.92648020879423e-17,1.17794406263827e-15,"ANOVA - CLR (aoc)","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia",NA
"26","ASV_0062",4.39573944746856e-13,3.59651409338337e-12,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Acutalibacter",NA
"28","ASV_0075",7.50448573676571e-10,3.37701858154457e-09,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoanaerobaculum",NA
"29","ASV_0079",0.00765549968153219,0.0112949995301295,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus",NA
"31","ASV_0084",7.94497114830873e-15,8.93809254184732e-14,"ANOVA - CLR (aoc)","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Family_Enterobacteriaceae",NA
"32","ASV_0085",2.68695914692897e-07,8.06087744078692e-07,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae_1","Peptococcus",NA
"33","ASV_0086",0.000321129191191034,0.000578032544143861,"ANOVA - CLR (aoc)","Bacteria","Actinobacteria","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium",NA
"34","ASV_0094",0.023732790219216,0.0339039860274514,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Clostridium_XVIII",NA
"35","ASV_0095",0.000515208004287737,0.000891706161267238,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Family_Peptostreptococcaceae",NA
"36","ASV_0096",0.000682874045333104,0.00113812340888851,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Order_Clostridiales","Order_Clostridiales",NA
"37","ASV_0100",5.55006508978771e-07,1.61130921961579e-06,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Monoglobus",NA
"38","ASV_0101",0.000297438443902553,0.000557697082317287,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Clostridia","Class_Clostridia","Class_Clostridia","Class_Clostridia",NA
"39","ASV_0105",6.96354887651466e-15,8.93809254184732e-14,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus",NA
"41","ASV_0109",0.000151070351019906,0.000302140702039811,"ANOVA - CLR (aoc)","Bacteria","Proteobacteria","Phylum_Proteobacteria","Phylum_Proteobacteria","Phylum_Proteobacteria","Phylum_Proteobacteria",NA
"45","ASV_0121",9.58499213979955e-11,5.75099528387973e-10,"ANOVA - CLR (aoc)","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia",NA
"46","ASV_0123",7.59464800181571e-05,0.000158957748875213,"ANOVA - CLR (aoc)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter",NA
"47","ASV_0130",0.00290729299137584,0.00451131671075561,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Family_Erysipelotrichaceae",NA
"48","ASV_0131",0.00310298568439999,0.00473336799315253,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVa",NA
"49","ASV_0135",3.59674567201528e-10,1.7037216341125e-09,"ANOVA - CLR (aoc)","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Family_Eggerthellaceae",NA
"52","ASV_0163",1.58004678291226e-09,6.18279175922187e-09,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Dubosiella",NA
