"","Feature","pval","pval.adj","log2FC","ordering","Method","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","ASV_0001",2.95501527709134e-08,1.00470519421105e-06,5.54429659538347,"d8>d0","t-test - ALR (tta)","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella","albertii/boydii/coli/coli,/dysenteriae/fergusonii/flexneri/sonnei/vulneris"
"2","ASV_0002",6.13890674245753e-06,5.69244079755153e-05,3.74883327654296,"d8>d0","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","xylanisolvens"
"3","ASV_0003",1.38112770777322e-05,0.000100625018709192,-3.60568373550084,"d0>d8","t-test - ALR (tta)","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","pseudolongum"
"5","ASV_0006",1.35367631513296e-05,0.000100625018709192,-3.60976197007409,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","intestinalis"
"6","ASV_0007",0.0044938868036944,0.00975269051014529,2.19694774603919,"d8>d0","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","thetaiotaomicron"
"8","ASV_0009",0.00653256935907304,0.013326441492509,-2.76635734711314,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Turicibacter","Genus_Turicibacter"
"10","ASV_0011",2.9377210281477e-06,3.17384337153153e-05,-5.38152989079977,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","acidophilus/gasseri/johnsonii/taiwanensis"
"11","ASV_0012",0.000474077735871542,0.00161186430196324,-2.37144344104691,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Family_Ruminococcaceae","Family_Ruminococcaceae"
"12","ASV_0013",3.23824142441205e-12,3.30300625290029e-10,7.21148863261648,"d8>d0","t-test - ALR (tta)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemania","filiformis"
"14","ASV_0021",0.00559493912653013,0.011646607977675,-2.10803414895055,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","Genus_Blautia"
"16","ASV_0023",0.00107723605099264,0.00323170815297792,-2.5821322391965,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Order_Clostridiales","Order_Clostridiales","Order_Clostridiales"
"17","ASV_0024",0.0220200096031512,0.0387248444745072,-2.07807213792541,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Family_Clostridiaceae_1","Family_Clostridiaceae_1"
"18","ASV_0027",0.000283173357264745,0.00106976601633348,-3.80166561195306,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter","Genus_Oscillibacter"
