"","Feature","pval","pval.adj","log2FC","ordering","Method","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","ASV_0001",2.51008792563218e-07,9.78934290996551e-06,5.09164946147784,"d8>d0","t-test - ALR (tta)","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA
"2","ASV_0002",0.00511033628753154,0.0110723952896517,1.95928635806854,"d8>d0","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae",NA,NA
"3","ASV_0003",5.80298959475688e-06,7.54388647318395e-05,-5.21196440375705,"d0>d8","t-test - ALR (tta)","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae",NA,NA
"5","ASV_0008",4.4671538244681e-05,0.00021777374894282,-2.98589488999717,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"8","ASV_0012",2.50838468225328e-05,0.000163045004346463,-3.80709510125389,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"11","ASV_0023",0.000533379824951536,0.00148584379807928,-3.05721913387913,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Order_Clostridiales",NA,NA
"12","ASV_0024",0.00287507707433733,0.00700800036869724,-3.26308416423125,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1",NA,NA
"15","ASV_0040",0.00126581872768445,0.00329112869197957,-3.76723077473857,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae",NA,NA
"16","ASV_0041",0.00677206670349415,0.0125766953064891,-2.71264852862523,"d0>d8","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae",NA,NA
"17","ASV_0044",4.14082141246994e-05,0.00021777374894282,-4.48511824714416,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes",NA,NA
"18","ASV_0045",0.00486269265592266,0.0110723952896517,-2.72923378977809,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae",NA,NA
"20","ASV_0050",0.000494831656425477,0.00148449496927643,2.84664402918675,"d8>d0","t-test - ALR (tta)","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae",NA,NA
"21","ASV_0058",7.79358552507568e-07,1.51974917738976e-05,-5.73797699045054,"d0>d8","t-test - ALR (tta)","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae",NA,NA
"22","ASV_0085",1.9008259694971e-05,0.000148264425620774,-3.93369293583203,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae_1",NA,NA
"24","ASV_0101",1.20071648471101e-05,0.000117069857259323,-3.38047959938036,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Class_Clostridia","Class_Clostridia",NA,NA
"26","ASV_0109",0.00605604840398395,0.0118092943877687,2.30042592733736,"d8>d0","t-test - ALR (tta)","Bacteria","Proteobacteria","Phylum_Proteobacteria","Phylum_Proteobacteria","Phylum_Proteobacteria",NA,NA
"28","ASV_0121",0.0219151208539649,0.0388495324229378,1.66301270872097,"d8>d0","t-test - ALR (tta)","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae",NA,NA
"29","ASV_0123",6.43724644120235e-05,0.000255766437099854,-4.40086153717708,"d0>d8","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae",NA,NA
"30","ASV_0195",6.55811377179114e-05,0.000255766437099854,-3.46067572340306,"d0>d8","t-test - ALR (tta)","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae",NA,NA
"32","ASV_0251",0.00571365462497194,0.0117280279144161,-2.1405883508267,"d0>d8","t-test - ALR (tta)","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae",NA,NA
"33","ASV_0340",0.000147293052716304,0.000522220823266896,-3.03358302475484,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae",NA,NA
"34","ASV_0404",0.000331458199800326,0.00107723914935106,-2.74433415794187,"d0>d8","t-test - ALR (tta)","Bacteria","Actinobacteria","Phylum_Actinobacteria","Phylum_Actinobacteria","Phylum_Actinobacteria",NA,NA
