"","Feature","pval","pval.adj","log2FC","ordering","Method","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","ASV_0001",4.23781959251675e-08,1.18658948590469e-06,5.50164792544464,"d8>d0","t-test - ALR (tta)","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella",NA
"2","ASV_0002",0.00148062845959077,0.00365802325310661,2.3985787533424,"d8>d0","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"3","ASV_0003",1.42971531181245e-05,0.000100080071826872,-4.77276228316786,"d0>d8","t-test - ALR (tta)","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA
"5","ASV_0006",1.0744854150688e-05,0.000100080071826872,-5.9207664248383,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"6","ASV_0008",0.000108671280203721,0.000507132640950696,-2.70116847523128,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Family_Lachnospiraceae",NA
"7","ASV_0009",0.00041350433325767,0.00157536977107822,-4.05750432971788,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Turicibacter",NA
"9","ASV_0012",1.19655628223512e-05,0.000100080071826872,-3.91850196905846,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Family_Ruminococcaceae",NA
"10","ASV_0013",4.12045038930662e-08,1.18658948590469e-06,5.71142221628519,"d8>d0","t-test - ALR (tta)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemania",NA
"12","ASV_0021",0.00254514180825541,0.00564610341295054,-3.26166912532506,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"13","ASV_0023",0.000528124510417424,0.00171320353183864,-2.61801701328995,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Order_Clostridiales","Order_Clostridiales",NA
"14","ASV_0024",0.00430584188407283,0.00927412098107995,-2.82372799756896,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Family_Clostridiaceae_1",NA
"15","ASV_0027",0.00255418963919191,0.00564610341295054,-2.69558720636486,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter",NA
"19","ASV_0040",0.0273764549836902,0.046931065686326,-2.44743044704679,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacterium",NA
"20","ASV_0041",0.0246554957271507,0.0431471175225137,-2.18321943739354,"d0>d8","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",NA
"21","ASV_0044",6.65590403104757e-05,0.000328879963887056,-4.04580467753803,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes",NA
"22","ASV_0045",0.0111498966552178,0.0208131404230733,-2.32951587008677,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Romboutsia",NA
"24","ASV_0047",0.00125348423228908,0.00319068713673585,-3.34428107139523,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Intestinimonas",NA
