"","Feature","pval","pval.adj","log2FC","ordering","Method","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","ASV_0001",1.03722961286118e-07,7.77922209645885e-07,1.91396977120687,"d8>d0","Log t-test (ltt)","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella","albertii/boydii/coli/coli,/dysenteriae/fergusonii/flexneri/sonnei/vulneris"
"2","ASV_0002",2.87150162535413e-08,2.92499307250653e-07,1.30040375477854,"d8>d0","Log t-test (ltt)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","xylanisolvens"
"4","ASV_0005",4.47055023906834e-05,0.000138061110324169,1.06762777251391,"d8>d0","Log t-test (ltt)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Genus_Ligilactobacillus"
"5","ASV_0006",0.0014585296207788,0.00319053354545362,-0.648329981174186,"d0>d8","Log t-test (ltt)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","intestinalis"
"6","ASV_0007",1.09597922192805e-05,3.83592727674818e-05,1.03250364327465,"d8>d0","Log t-test (ltt)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","thetaiotaomicron"
"7","ASV_0008",0.00199456317843659,0.0042740639537927,0.323327223832282,"d8>d0","Log t-test (ltt)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Family_Lachnospiraceae","Family_Lachnospiraceae"
"9","ASV_0010",0.000695547468991031,0.0016229440943124,0.681839832715594,"d8>d0","Log t-test (ltt)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellamassilia","Genus_Prevotellamassilia"
"10","ASV_0011",8.32930985943467e-06,3.01578460427807e-05,-1.21987890368986,"d0>d8","Log t-test (ltt)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","acidophilus/gasseri/johnsonii/taiwanensis"
"12","ASV_0013",1.91027926200322e-11,1.00289661255169e-09,2.70679417914851,"d8>d0","Log t-test (ltt)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemania","filiformis"
"13","ASV_0014",2.72677052966225e-07,1.5068995032344e-06,0.906347066624203,"d8>d0","Log t-test (ltt)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","goldsteinii"
"18","ASV_0029",1.30148817411525e-06,5.9415764470479e-06,1.06203067630843,"d8>d0","Log t-test (ltt)","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XIII","Family_Clostridiales_Incertae_Sedis_XIII","Family_Clostridiales_Incertae_Sedis_XIII"
"21","ASV_0037",7.13932730090409e-06,2.67724773783904e-05,1.05358904097891,"d8>d0","Log t-test (ltt)","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella","Genus_Parasutterella"
"22","ASV_0040",0.0120379995991146,0.0194459993524159,-2.28041974811148,"d0>d8","Log t-test (ltt)","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacterium","Genus_Eubacterium"
"24","ASV_0044",0.000551555227708363,0.00134682090486926,-1.12999655441471,"d0>d8","Log t-test (ltt)","Bacteria","Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes"
"28","ASV_0050",1.64090192608723e-09,2.87157837065265e-08,2.1167900813823,"d8>d0","Log t-test (ltt)","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Family_Desulfovibrionaceae","Family_Desulfovibrionaceae"
"29","ASV_0051",0.000305551097904925,0.000802071632000429,-1.96164985946357,"d0>d8","Log t-test (ltt)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Faecalicatena","Genus_Faecalicatena"
"30","ASV_0052",0.00314289048356017,0.00611117594025588,-2.37365244379764,"d0>d8","Log t-test (ltt)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","Genus_Ruminococcus"
"31","ASV_0058",1.81330931642683e-07,1.18998423890511e-06,-2.3684559717144,"d0>d8","Log t-test (ltt)","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia","Genus_Adlercreutzia"
"32","ASV_0062",3.34284922572175e-08,2.92499307250653e-07,-2.19948943617378,"d0>d8","Log t-test (ltt)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Acutalibacter","Genus_Acutalibacter"
"33","ASV_0063",4.88036055596465e-05,0.00014641081667894,3.0875676183306,"d8>d0","Log t-test (ltt)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemania","Genus_Holdemania"
"34","ASV_0067",0.0117752080717863,0.0193187007427744,-1.24382028582275,"d0>d8","Log t-test (ltt)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","Genus_Roseburia"
"37","ASV_0083",0.00481145883098778,0.00871039960782271,-2.81833426371829,"d0>d8","Log t-test (ltt)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Kineothrix","Genus_Kineothrix"
"38","ASV_0084",4.60659136462645e-07,2.30329568231322e-06,4.66285524346984,"d8>d0","Log t-test (ltt)","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Family_Enterobacteriaceae","Family_Enterobacteriaceae"
"39","ASV_0085",1.40366449458013e-06,6.14103216378806e-06,-2.69132184085072,"d0>d8","Log t-test (ltt)","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae_1","Peptococcus","Genus_Peptococcus"
"40","ASV_0086",0.0063915487538027,0.0113747901550726,0.953033034281244,"d8>d0","Log t-test (ltt)","Bacteria","Actinobacteria","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium","amycolatum"
"42","ASV_0100",5.76270349182819e-07,2.75038121200891e-06,-2.70109676160858,"d0>d8","Log t-test (ltt)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Monoglobus","Genus_Monoglobus"
"43","ASV_0101",0.028010990385644,0.042016485578466,-0.744197500713036,"d0>d8","Log t-test (ltt)","Bacteria","Firmicutes","Clostridia","Class_Clostridia","Class_Clostridia","Class_Clostridia","Class_Clostridia"
"44","ASV_0105",2.4694722632304e-09,3.70420839484559e-08,-3.4049262002356,"d0>d8","Log t-test (ltt)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus","Genus_Anaerotruncus"
"45","ASV_0106",0.00730315080510701,0.0126457255299597,0.843652907614099,"d8>d0","Log t-test (ltt)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Family_Erysipelotrichaceae","Family_Erysipelotrichaceae"
"47","ASV_0109",1.33427541611947e-05,4.51931995782403e-05,2.52865613908912,"d8>d0","Log t-test (ltt)","Bacteria","Proteobacteria","Phylum_Proteobacteria","Phylum_Proteobacteria","Phylum_Proteobacteria","Phylum_Proteobacteria","Phylum_Proteobacteria"
"49","ASV_0114",0.00796087463534686,0.0134821263985713,-1.7147207732783,"d0>d8","Log t-test (ltt)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes","Genus_Anaerostipes"
"51","ASV_0121",1.73637036764024e-05,5.52481480612803e-05,1.5553712875624,"d8>d0","Log t-test (ltt)","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Genus_Akkermansia"
"52","ASV_0122",0.0122270239939453,0.0194520836267312,-1.66444347499655,"d0>d8","Log t-test (ltt)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter","laneus"
"53","ASV_0123",0.00233380418115201,0.00471248921194156,-1.67807632080907,"d0>d8","Log t-test (ltt)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter","Genus_Odoribacter"
"54","ASV_0131",5.73902962013929e-05,0.000167388363920729,-2.82107601007423,"d0>d8","Log t-test (ltt)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVa","Genus_Clostridium_XlVa"
"55","ASV_0135",8.91136856617556e-10,1.87830553468264e-08,-2.54283404379134,"d0>d8","Log t-test (ltt)","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Family_Eggerthellaceae","Family_Eggerthellaceae"
