"","Feature","pval","pval.adj","log2FC","ordering","Method","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","ASV_0001",9.02707654277104e-05,0.000361083061710842,-1.60241725086549,"d2>d8","t-test - CLR (ttc)","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA
"4","ASV_0005",4.4435765160568e-05,0.000203134926448311,-1.96885583078331,"d2>d8","t-test - CLR (ttc)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae",NA,NA
"5","ASV_0008",0.0182571756057307,0.041730687098813,1.4551613370928,"d8>d2","t-test - CLR (ttc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"6","ASV_0009",3.93682144726764e-06,3.14945715781411e-05,1.44533187338837,"d8>d2","t-test - CLR (ttc)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae",NA,NA
"8","ASV_0012",5.95946032989583e-06,3.81405461113333e-05,1.684144248828,"d8>d2","t-test - CLR (ttc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"9","ASV_0014",2.89938084334455e-06,3.09267289956752e-05,4.20212375383521,"d8>d2","t-test - CLR (ttc)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae",NA,NA
"11","ASV_0024",0.0101039903485262,0.0269439742627366,-2.06416479633736,"d2>d8","t-test - CLR (ttc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1",NA,NA
"12","ASV_0029",0.0114882151414516,0.0282786834251116,1.12261951850066,"d8>d2","t-test - CLR (ttc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XIII",NA,NA
"13","ASV_0037",0.0259957342352856,0.0490010264592391,-1.02206114920458,"d2>d8","t-test - CLR (ttc)","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae",NA,NA
"20","ASV_0058",2.11949949432203e-08,6.78239838183048e-07,-2.6821527261805,"d2>d8","t-test - CLR (ttc)","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae",NA,NA
"21","ASV_0086",0.0260783421431354,0.0490010264592391,0.778116657863839,"d8>d2","t-test - CLR (ttc)","Bacteria","Actinobacteria","Actinobacteria","Mycobacteriales","Corynebacteriaceae",NA,NA
"22","ASV_0101",0.00137376141616356,0.00439603653172338,-1.81955043678498,"d2>d8","t-test - CLR (ttc)","Bacteria","Firmicutes","Clostridia","Class_Clostridia","Class_Clostridia",NA,NA
"24","ASV_0109",1.74474163722526e-05,9.30528873186803e-05,2.83669115632454,"d8>d2","t-test - CLR (ttc)","Bacteria","Proteobacteria","Phylum_Proteobacteria","Phylum_Proteobacteria","Phylum_Proteobacteria",NA,NA
"26","ASV_0121",0.027563077383322,0.0490010264592391,1.3239446254904,"d8>d2","t-test - CLR (ttc)","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae",NA,NA
"27","ASV_0122",0.000427585742513299,0.00152030486226951,-2.57934659681949,"d2>d8","t-test - CLR (ttc)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae",NA,NA
"28","ASV_0195",0.00898123975115242,0.0261272429124434,-0.976296214887195,"d2>d8","t-test - CLR (ttc)","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae",NA,NA
"29","ASV_0238",0.0271435962158129,0.0490010264592391,0.744818471109489,"d8>d2","t-test - CLR (ttc)","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae",NA,NA
"30","ASV_0288",4.31319831679332e-08,6.90111730686931e-07,-3.08964337013805,"d2>d8","t-test - CLR (ttc)","Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae",NA,NA
