"","Feature","pval","pval.adj","log2FC","ordering","Method","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","ASV_0001",0.00495584844675905,0.0148675453402772,-1.72507654631029,"d2>d8","t-test - ALR (tta)","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella",NA
"4","ASV_0005",0.00106640059917106,0.00658635227182363,-2.0307761219421,"d2>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus",NA
"5","ASV_0006",0.0012914416219262,0.00658635227182363,-2.04973937333526,"d2>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"10","ASV_0013",0.00421886261391217,0.013447624581845,3.10378589966399,"d8>d2","t-test - ALR (tta)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemania",NA
"11","ASV_0014",0.000146243152249076,0.0024861335882343,4.0795688680097,"d8>d2","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides",NA
"14","ASV_0024",0.0225449364043363,0.0479079898592145,-2.18668349850884,"d2>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Family_Clostridiaceae_1",NA
"15","ASV_0025",0.00349545526681244,0.0124578493678437,-1.92653933566157,"d2>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA
"19","ASV_0038",6.1321556434596e-06,0.00031273993781644,2.89877645661126,"d8>d2","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Intestinimonas",NA
"26","ASV_0058",0.00145870612170816,0.00676309201882872,-1.99916742322014,"d2>d8","t-test - ALR (tta)","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia",NA
"27","ASV_0062",0.0056565332317284,0.0160268441565638,-1.44456035291601,"d2>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Acutalibacter",NA
"28","ASV_0064",0.0111891800173698,0.0270740335252432,1.53995853113284,"d8>d2","t-test - ALR (tta)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Family_Erysipelotrichaceae",NA
"29","ASV_0075",0.00658843103497717,0.0168004991391918,-1.7889859226968,"d2>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoanaerobaculum",NA
"31","ASV_0094",0.000253775005325153,0.00258850505431656,-3.76106269909235,"d2>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Clostridium_XVIII",NA
"33","ASV_0101",0.00366407334348344,0.0124578493678437,-1.94209205332036,"d2>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Class_Clostridia","Class_Clostridia","Class_Clostridia",NA
"35","ASV_0109",0.000357867616511338,0.00304187474034637,2.71409132465165,"d8>d2","t-test - ALR (tta)","Bacteria","Proteobacteria","Phylum_Proteobacteria","Phylum_Proteobacteria","Phylum_Proteobacteria","Phylum_Proteobacteria",NA
"39","ASV_0122",0.00232574024375223,0.00988439603594697,-2.70183177825918,"d2>d8","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter",NA
"40","ASV_0135",0.000245910735623954,0.00258850505431656,-2.2761062826423,"d2>d8","t-test - ALR (tta)","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Family_Eggerthellaceae",NA
"42","ASV_0181",0.00308166657360361,0.0120896150195218,-1.77888797046854,"d2>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Longicatena",NA
"44","ASV_0195",0.0116789948540265,0.0270740335252432,-1.29850570684062,"d2>d8","t-test - ALR (tta)","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Family_Coriobacteriaceae",NA
"45","ASV_0202",0.00116465565742534,0.00658635227182363,-2.09237835278684,"d2>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Neglecta",NA
"47","ASV_0270",0.000719951333575523,0.00524535971605024,2.3814381848932,"d8>d2","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum",NA
"48","ASV_0282",0.00606706027405005,0.0162852670513975,-1.63949717082523,"d2>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Pseudoflavonifractor",NA
"49","ASV_0288",1.2758531877154e-05,0.000325342562867427,-3.21206981100209,"d2>d8","t-test - ALR (tta)","Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae","Anaeroplasma",NA
"50","ASV_0308",0.0136534703610073,0.0302750864526683,-1.21814646313244,"d2>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Amedibacillus",NA
