"","Feature","pval","pval.adj","Method","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","ASV_0001",4.45764601129546e-12,5.01485176270739e-11,"ANOVA - ALR (aoa)","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA
"2","ASV_0002",7.04468018958127e-07,2.64175507109297e-06,"ANOVA - ALR (aoa)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae",NA,NA
"3","ASV_0003",4.13202388519409e-10,3.71882149667468e-09,"ANOVA - ALR (aoa)","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae",NA,NA
"5","ASV_0008",2.83628160622077e-06,9.11661944856678e-06,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"6","ASV_0009",0.0108387819235771,0.0203227161067071,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae",NA,NA
"7","ASV_0010",0.0159429510343249,0.0280324882304053,"ANOVA - ALR (aoa)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae",NA,NA
"8","ASV_0012",1.00959578172501e-08,6.49025859680365e-08,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"11","ASV_0024",3.37720014583066e-06,1.0131600437492e-05,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1",NA,NA
"13","ASV_0033",6.35526447042158e-10,4.76644835281618e-09,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Order_Clostridiales",NA,NA
"16","ASV_0040",9.11226175732309e-06,2.56282361924712e-05,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae",NA,NA
"17","ASV_0041",0.00138889133809979,0.0027173960962822,"ANOVA - ALR (aoa)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae",NA,NA
"18","ASV_0044",1.85034742307131e-12,2.77552113460696e-11,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes",NA,NA
"19","ASV_0046",0.000799377202386033,0.00163508973215325,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",NA,NA
"20","ASV_0050",5.37955724943338e-05,0.000134488931235834,"ANOVA - ALR (aoa)","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae",NA,NA
"21","ASV_0058",1.53152595792996e-16,6.89186681068484e-15,"ANOVA - ALR (aoa)","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae",NA,NA
"22","ASV_0085",3.67491934156362e-14,8.26856851851814e-13,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae_1",NA,NA
"23","ASV_0086",0.0161965487553453,0.0280324882304053,"ANOVA - ALR (aoa)","Bacteria","Actinobacteria","Actinobacteria","Mycobacteriales","Corynebacteriaceae",NA,NA
"24","ASV_0095",7.10782896613467e-05,0.00015992615173803,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae",NA,NA
"25","ASV_0101",2.77671048154195e-07,1.13592701517625e-06,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Class_Clostridia","Class_Clostridia",NA,NA
"26","ASV_0107",0.0230714846294696,0.0384524743824494,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae",NA,NA
"27","ASV_0109",4.89689014543517e-05,0.000129623562673284,"ANOVA - ALR (aoa)","Bacteria","Proteobacteria","Phylum_Proteobacteria","Phylum_Proteobacteria","Phylum_Proteobacteria",NA,NA
"29","ASV_0121",0.000301836688862475,0.000646792904705305,"ANOVA - ALR (aoa)","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae",NA,NA
"30","ASV_0123",1.94090684651919e-08,1.09176010116704e-07,"ANOVA - ALR (aoa)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae",NA,NA
"31","ASV_0195",7.97013945371108e-08,3.58656275416999e-07,"ANOVA - ALR (aoa)","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae",NA,NA
"33","ASV_0238",0.0260557324304966,0.041875284263298,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae",NA,NA
"34","ASV_0251",1.40279415022315e-06,4.85582590461859e-06,"ANOVA - ALR (aoa)","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae",NA,NA
"35","ASV_0340",6.21489557727771e-05,0.000147194895251314,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae",NA,NA
"37","ASV_0404",2.46874068463185e-08,1.23437034231593e-07,"ANOVA - ALR (aoa)","Bacteria","Actinobacteria","Phylum_Actinobacteria","Phylum_Actinobacteria","Phylum_Actinobacteria",NA,NA
