"","Feature","pval","pval.adj","Method","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","ASV_0001",8.41088676408856e-13,1.11744638437177e-11,"ANOVA - ALR (aoa)","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella",NA
"2","ASV_0002",1.65040063402293e-08,9.59295368525828e-08,"ANOVA - ALR (aoa)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"3","ASV_0003",3.54131626652508e-09,2.19561608524555e-08,"ANOVA - ALR (aoa)","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA
"5","ASV_0006",1.10642344905092e-10,1.19436318615675e-09,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"6","ASV_0008",4.64143261964099e-06,1.10680316314516e-05,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Family_Lachnospiraceae",NA
"7","ASV_0009",3.57703296811603e-08,1.84813370019328e-07,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Turicibacter",NA
"9","ASV_0012",1.40411874243884e-10,1.30583043046813e-09,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Family_Ruminococcaceae",NA
"10","ASV_0013",1.4973300416539e-21,1.39251693873813e-19,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemania",NA
"12","ASV_0021",8.23249721296364e-07,2.64007669243317e-06,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"14","ASV_0024",9.25217235089447e-06,2.04869530626949e-05,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Family_Clostridiaceae_1",NA
"15","ASV_0027",9.53835514893148e-07,2.86150654467944e-06,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter",NA
"16","ASV_0029",0.00229430614538779,0.00410327829848201,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XIII","Family_Clostridiales_Incertae_Sedis_XIII",NA
"18","ASV_0033",1.18927146075635e-09,7.90016041788145e-09,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Order_Clostridiales","Order_Clostridiales",NA
"21","ASV_0038",1.58465208982685e-06,4.46583770769386e-06,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Intestinimonas",NA
"22","ASV_0040",0.0130711277405445,0.020958877239149,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacterium",NA
"24","ASV_0044",5.10365293646555e-10,3.65107479300997e-09,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes",NA
"25","ASV_0045",0.00142694838506483,0.00265412399622059,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Romboutsia",NA
"26","ASV_0046",0.0241381736480387,0.0362072604720581,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"27","ASV_0050",9.08921361753761e-06,2.04869530626949e-05,"ANOVA - ALR (aoa)","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Family_Desulfovibrionaceae",NA
"28","ASV_0051",2.38897692730744e-10,2.01977140217811e-09,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Faecalicatena",NA
"29","ASV_0052",0.000254822858260252,0.000504223953578797,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus",NA
"30","ASV_0058",1.23295091474435e-15,2.86661087678062e-14,"ANOVA - ALR (aoa)","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia",NA
"31","ASV_0062",4.11384382789105e-10,3.18822896661556e-09,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Acutalibacter",NA
"32","ASV_0064",0.00173423868004879,0.00316243524008898,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Family_Erysipelotrichaceae",NA
"33","ASV_0067",1.15583534144201e-10,1.19436318615675e-09,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA
"35","ASV_0084",3.58170459380938e-16,1.66549263612136e-14,"ANOVA - ALR (aoa)","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Family_Enterobacteriaceae",NA
"36","ASV_0085",2.01352034915734e-14,3.74514784943265e-13,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae_1","Peptococcus",NA
"38","ASV_0095",7.56200038756331e-05,0.000152883920878997,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Family_Peptostreptococcaceae",NA
"39","ASV_0100",3.22614415759856e-13,5.00052344427776e-12,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Monoglobus",NA
"40","ASV_0101",7.91642927206727e-07,2.62938543679377e-06,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Class_Clostridia","Class_Clostridia","Class_Clostridia",NA
"41","ASV_0105",1.58262740797672e-07,7.00877852103977e-07,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus",NA
"43","ASV_0109",2.70204368679228e-06,6.79162332085628e-06,"ANOVA - ALR (aoa)","Bacteria","Proteobacteria","Phylum_Proteobacteria","Phylum_Proteobacteria","Phylum_Proteobacteria","Phylum_Proteobacteria",NA
"44","ASV_0112",6.86706382531609e-07,2.36532198427554e-06,"ANOVA - ALR (aoa)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Mucinivorans",NA
"45","ASV_0114",0.0199994574715073,0.0309991590808363,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes",NA
"47","ASV_0121",1.51347165043712e-05,3.27332240675936e-05,"ANOVA - ALR (aoa)","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia",NA
