"","Feature","pval","pval.adj","log2FC","ordering","Method","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","ASV_0001",0.168368960551881,0.619761818783241,-0.717062036193576,"VAN>VAN+PFOS","t-test - ALR (tta)","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella",NA
"2","ASV_0002",0.57678917686254,0.86518376529381,0.295208748984366,"VAN+PFOS>VAN","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"3","ASV_0003",0.23736132980518,0.669762078151364,0.825313562577715,"VAN+PFOS>VAN","t-test - ALR (tta)","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA
"4","ASV_0005",0.640510889661679,0.896132490612245,-0.318988752691434,"VAN>VAN+PFOS","t-test - ALR (tta)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus",NA
"5","ASV_0006",0.398079425857549,0.703064817048949,0.656415016908532,"VAN+PFOS>VAN","t-test - ALR (tta)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"6","ASV_0008",0.323991329486019,0.703064817048949,0.779462466544256,"VAN+PFOS>VAN","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Family_Lachnospiraceae",NA
"7","ASV_0009",0.410121143278554,0.703064817048949,0.851608056137309,"VAN+PFOS>VAN","t-test - ALR (tta)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Turicibacter",NA
"8","ASV_0010",0.786453115270714,0.921306732687856,0.213961552929573,"VAN+PFOS>VAN","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellamassilia",NA
"9","ASV_0012",0.086924429598692,0.417237262073722,1.107523335138,"VAN+PFOS>VAN","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Family_Ruminococcaceae",NA
"10","ASV_0013",0.00437414877454049,0.104979570588972,1.32264335394536,"VAN+PFOS>VAN","t-test - ALR (tta)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemania",NA
"11","ASV_0014",0.813822382731426,0.921306732687856,0.153431498032734,"VAN+PFOS>VAN","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides",NA
"12","ASV_0021",0.872385639629755,0.951693425050641,0.133669735137467,"VAN+PFOS>VAN","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"13","ASV_0024",0.380552463158216,0.703064817048949,-0.606860791806716,"VAN>VAN+PFOS","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Family_Clostridiaceae_1",NA
"14","ASV_0027",0.226768408037544,0.669762078151364,-1.24364430118352,"VAN>VAN+PFOS","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter",NA
"15","ASV_0029",0.0459361167220489,0.275616700332294,1.31853432531349,"VAN+PFOS>VAN","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XIII","Family_Clostridiales_Incertae_Sedis_XIII",NA
"16","ASV_0032",0.29084507470048,0.698028179281152,-0.435087369137033,"VAN>VAN+PFOS","t-test - ALR (tta)","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella",NA
"17","ASV_0033",0.921164524959477,0.961376764137855,0.0499307009518157,"VAN+PFOS>VAN","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Order_Clostridiales","Order_Clostridiales",NA
"18","ASV_0035",0.539175525396159,0.83485242641986,0.305804958382521,"VAN+PFOS>VAN","t-test - ALR (tta)","Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria",NA
"19","ASV_0037",0.808121024480719,0.921306732687856,0.14638746091359,"VAN+PFOS>VAN","t-test - ALR (tta)","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella",NA
"20","ASV_0038",0.0196234079210956,0.21768025907889,2.18774884986621,"VAN+PFOS>VAN","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Intestinimonas",NA
"21","ASV_0041",0.405053713548227,0.703064817048949,0.938189854016986,"VAN+PFOS>VAN","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",NA
"22","ASV_0044",0.129756002853314,0.566208012450826,0.878110672475063,"VAN+PFOS>VAN","t-test - ALR (tta)","Bacteria","Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes",NA
"23","ASV_0045",0.755100739035962,0.921306732687856,0.302704648436643,"VAN+PFOS>VAN","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Romboutsia",NA
"24","ASV_0046",0.251160779306761,0.669762078151364,1.10229782885211,"VAN+PFOS>VAN","t-test - ALR (tta)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"25","ASV_0050",0.0141651277226852,0.21768025907889,1.31294603526295,"VAN+PFOS>VAN","t-test - ALR (tta)","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Family_Desulfovibrionaceae",NA
"26","ASV_0051",0.744131217704227,0.921306732687856,-0.191926207331543,"VAN>VAN+PFOS","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Faecalicatena",NA
"27","ASV_0058",0.825337281366204,0.921306732687856,0.116784965534957,"VAN+PFOS>VAN","t-test - ALR (tta)","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia",NA
"28","ASV_0064",0.0314649058634347,0.251719246907478,2.53313388012832,"VAN+PFOS>VAN","t-test - ALR (tta)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Family_Erysipelotrichaceae",NA
"29","ASV_0067",0.965140404613814,0.965140404613814,0.0241950920928065,"VAN+PFOS>VAN","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA
